Abay;649482
Aktal;649785
Aktash;649743
Aleksandrovka;649108
Amur;649481
Anos;649230
Balykcha;649742
Balyktuyul;649741
Baragash;649223
Beltir;649789
Belyashi;649772
Belyy Anuy;649454
Besh-Ozek;649224
Beshpeltir;649233
Biryulya;649107
Biyka;649156
Chagan-Uzun;649791
Chemal;649240
Chendek;649470
Cheposh;649231
Cherga;649219
Chernyy Anuy;649453
Chibilya;649740
Chibit;649744
Choya;649180
Chuyka;649165
Dektiek;649225
Dmitrievka;649171
Edigan;649236
Elekmonar;649234
Elo;649433
Gorbunovo;649494
Gorno-Altaysk;649000
Gorno-Altaysk 2;649002
Gorno-Altaysk 6;649006
Gorno-Altaysk 7;649007
Habarovka;649444
Ilinka;649212
Inya;649446
Iogach;649154
Kamlak;649218
Karagay;649497
Karakoksha;649184
Karakol;649431
Karasuk;649106
Katanda;649472
Kayashkan;649143
Kaytanak;649476
Kebezen;649152
Kiska;649192
Kokorya;649786
Korgon;649459
Kosh-Agach;649780
Kozul;649465
Kulada;649435
Kupchegen;649445
Kuray;649792
Kurmach-Baygol;649161
Kurunda;649474
Kuyus;649247
Kyrlyk;649456
Kyzyl-Ozek;649105
Malaya Cherga;649226
Manzherok;649113
Mayma;649100
Mayskiy;649163
Mendur-Sokkon;649457
Muhor-Tarhata;649779
Multa;649495
Myyuta;649228
Ognevka;649477
Onguday;649440
Oroktoy;649237
Ortolyk;649770
Ozero-Kureevo;649172
Paspaul;649190
Saratan;649753
Seyka;649189
Shashikman;649449
Shebalino;649220
Souzga;649115
Sugash;649496
Suranash;649162
Talda;649483
Talon;649166
Tashanta;649787
Tebeler;649777
Tenga;649432
Tondoshka;649150
Tuekta;649447
Tunzha;649193
Turochak;649140
Tyudrala;649468
Tyungur;649473
Udalovka;649144
Ufps Respubliki Altay;649700
Ulus-Cherga;649211
Urlu-Aspak;649109
Uskuch;649183
Ust-Kan;649450
Ust-Koksa;649490
Ust-Kumir;649458
Ust-Muny;649104
Ust-Muta;649462
Ust-Pyzha;649153
Ust-Sema;649245
Ust-Ulagan;649750
Uymen;649187
Uznezya;649232
Verh-Apshuyahta;649227
Verh-Biysk;649151
Verh-Karaguzh;649112
Verh-Uymon;649475
Yabogan;649455
Yakonur;649461
Yaylyu;649164
Yazula;649754
Ynyrga;649185
10 Let Oktyabrya;659738
12 Let Oktyabrya;659707
Akimovka;658342
Akulovo;658054
Akutiha;659564
Alambay;659155
Aleksandrovka;658414,659609,658692
Aleksandrovskiy;658103
Alekseevka;658174,658653,659666
Aleysk;658130
Aleysk 1;658131
Aleysk 3;658133
Aleysk 5;658135
Aleysk 6;658136
Aleysk 7;658137
Aleysk 8;658138
Aleyskiy;658109
Allak;658719
Altay;659043
Altayskoe;658851,659650
Altayskoe 1;659651
Altayskoe 2;659652
Altayskoe 3;659653
Ananevka;658908
Andronovo;658585
Anisimovo;658010
Antipino;659458
Antonevka;659665
Anuyskoe;659611
Arbuzovka;659006
Aschegul;658967
Asyamovka;658816
Aya;659635
Baevo;658510
Balasnyy Karer;658834
Baranovka;658474
Barnaul;656000
Barnaul 10;656010
Barnaul 11;656011
Barnaul 12;656012
Barnaul 15;656015
Barnaul 16;656016
Barnaul 18;656018
Barnaul 19;656019
Barnaul 2;656002
Barnaul 21;656021
Barnaul 23;656023
Barnaul 24;656024
Barnaul 25;656025
Barnaul 3;656003
Barnaul 31;656031
Barnaul 33;656033
Barnaul 35;656035
Barnaul 36;656036
Barnaul 37;656037
Barnaul 38;656038
Barnaul 39;656039
Barnaul 4;656004
Barnaul 40;656040
Barnaul 43;656043
Barnaul 44;656044
Barnaul 45;656045
Barnaul 47;656047
Barnaul 48;656048
Barnaul 49;656049
Barnaul 50;656050
Barnaul 52;656052
Barnaul 53;656053
Barnaul 54;656054
Barnaul 55;656055
Barnaul 56;656056
Barnaul 57;656057
Barnaul 58;656058
Barnaul 59;656059
Barnaul 6;656006
Barnaul 60;656060
Barnaul 62;656062
Barnaul 63;656063
Barnaul 64;656064
Barnaul 65;656065
Barnaul 66;656066
Barnaul 67;656067
Barnaul 8;656008
Barnaul Msts;656960
Barnaul Msts-1;656961
Bastan;658972
Batalovo;658384
Baturovo;659054
Bayunovo;659800
Bayunovskie Klyuchi;658049
Belmesevo;656901
Beloe;659850,659643
Beloglazovo;658370
Belokuriha;659900
Belovo;658531,659585
Belovskiy;659852
Beloyarovka;659089
Beloyarsk;658041
Berezovka;658345,659508,658060,658592,658184,659682
Berezovka 1;658061
Berezovo;659527
Berezovskiy;658941
Bespalovskiy;658471
Bestuzhevo;658371
Bezgolosovo;658102
Bezrukavka;658240
Biysk;659300
Biysk 1;659301
Biysk 11;659311
Biysk 14;659314
Biysk 15;659315
Biysk 16;659316
Biysk 18;659318
Biysk 19;659319
Biysk 2;659302
Biysk 20;659320
Biysk 21;659321
Biysk 22;659322
Biysk 23;659323
Biysk 25;659325
Biysk 26;659326
Biysk 28;659328
Biysk 29;659329
Biysk 3;659303
Biysk 30;659330
Biysk 32;659332
Biysk 33;659333
Biysk 34;659334
Biysk 35;659335
Biysk 36;659336
Biysk 4;659304
Biysk 5;659305
Biysk 6;659306
Biysk 8;659308
Biysk 9;659309
Blagoveschenka;658670
Blagoveschenka 1;658671
Blagoveschenka 2;658672
Bobkovo;658243
Bobrovka;658385,658047
Bochkari;659445
Bogatskoe;658796
Bolshaya Shelkovka;658258
Bolshepanyushevo;658101
Bolsheromanovka;658867
Bolsheugrenevo;659353
Bolshevik;659718
Bolshoy Baschelak;658188
Bolshoy Kaltay;659227
Bor-Forpost;658947
Boriha;658127
Borisovka;658777,658285
Borisovo;659236
Boronsk;658693
Boroviha;658044
Borovikovo;659017
Borovlyanka;659863,658546
Borovoe;658740
Borovskoe;658114
